CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_DATE,MODIFIED_DATE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
218176184020004,249604183010854,2006,72,13,5,150,2,2,2006,1,0.0,1.6,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176187020004,249604183010854,2006,72,13,5,150,3,2,2006,1,0.0,1.6,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176190020004,249604183010854,2006,72,13,5,150,4,2,2006,1,2.0,2.8,0.2,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176182020004,249604183010854,2006,72,13,5,270,1,2,2006,1,0.0,1.0,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176185020004,249604183010854,2006,72,13,5,270,2,2,2006,1,0.0,1.6,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176188020004,249604183010854,2006,72,13,5,270,3,2,2006,1,0.0,0.6,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176191020004,249604183010854,2006,72,13,5,270,4,2,2006,,,,,2013-10-21 14:55:36,2023-08-10 13:09:56,2,0,,0,,0,,
218177618020004,249604180010854,2006,72,13,12,30,1,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177609020004,249604180010854,2006,72,13,12,30,2,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177612020004,249604180010854,2006,72,13,12,30,3,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177615020004,249604180010854,2006,72,13,12,30,4,2,2006,2,0.1,1.7,0.3,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177607020004,249604180010854,2006,72,13,12,150,1,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177610020004,249604180010854,2006,72,13,12,150,2,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177613020004,249604180010854,2006,72,13,12,150,3,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177616020004,249604180010854,2006,72,13,12,150,4,2,2006,2,0.2,1.9,0.2,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177608020004,249604180010854,2006,72,13,12,270,1,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177611020004,249604180010854,2006,72,13,12,270,2,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177614020004,249604180010854,2006,72,13,12,270,3,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177617020004,249604180010854,2006,72,13,12,270,4,2,2006,2,0.5,2.0,0.3,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177631020004,249604184010854,2006,72,19,3,30,1,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177634020004,249604184010854,2006,72,19,3,30,2,2,2006,2,0.0,0.7,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177637020004,249604184010854,2006,72,19,3,30,3,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177640020004,249604184010854,2006,72,19,3,30,4,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177632020004,249604184010854,2006,72,19,3,150,1,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177635020004,249604184010854,2006,72,19,3,150,2,2,2006,2,0.0,0.2,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177638020004,249604184010854,2006,72,19,3,150,3,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177641020004,249604184010854,2006,72,19,3,150,4,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177633020004,249604184010854,2006,72,19,3,270,1,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177636020004,249604184010854,2006,72,19,3,270,2,2,2006,2,0.0,0.2,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177639020004,249604184010854,2006,72,19,3,270,3,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177649020004,249604188010854,2006,72,23,15,30,3,2,2006,1,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177642020004,249604184010854,2006,72,19,3,270,4,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218177643020004,249604188010854,2006,72,23,15,30,1,2,2006,1,0.0,1.6,1.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177646020004,249604188010854,2006,72,23,15,30,2,2,2006,1,0.0,1.0,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177652020004,249604188010854,2006,72,23,15,30,4,2,2006,1,0.0,0.9,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177644020004,249604188010854,2006,72,23,15,150,1,2,2006,1,0.0,1.4,1.3,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177647020004,249604188010854,2006,72,23,15,150,2,2,2006,1,0.0,0.9,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177650020004,249604188010854,2006,72,23,15,150,3,2,2006,1,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177653020004,249604188010854,2006,72,23,15,150,4,2,2006,1,0.0,2.1,0.2,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177645020004,249604188010854,2006,72,23,15,270,1,2,2006,1,0.0,1.1,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177648020004,249604188010854,2006,72,23,15,270,2,2,2006,1,0.0,1.0,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177651020004,249604188010854,2006,72,23,15,270,3,2,2006,1,0.0,0.8,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177654020004,249604188010854,2006,72,23,15,270,4,2,2006,1,0.0,1.1,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176204020004,249604189010854,2006,72,23,16,30,1,2,2006,1,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176207020004,249604189010854,2006,72,23,16,30,2,2,2006,1,0.0,1.2,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176210020004,249604189010854,2006,72,23,16,30,3,2,2006,1,0.0,1.5,1.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176213020004,249604189010854,2006,72,23,16,30,4,2,2006,1,0.0,0.4,3.9,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176205020004,249604189010854,2006,72,23,16,150,1,2,2006,1,0.0,0.4,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176208020004,249604189010854,2006,72,23,16,150,2,2,2006,1,0.0,0.9,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176211020004,249604189010854,2006,72,23,16,150,3,2,2006,1,0.0,0.6,1.6,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176214020004,249604189010854,2006,72,23,16,150,4,2,2006,1,0.0,0.5,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176206020004,249604189010854,2006,72,23,16,270,1,2,2006,1,0.0,0.9,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176209020004,249604189010854,2006,72,23,16,270,2,2,2006,1,0.0,1.3,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176212020004,249604189010854,2006,72,23,16,270,3,2,2006,1,0.0,0.9,0.1,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176215020004,249604189010854,2006,72,23,16,270,4,2,2006,1,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218177655020004,249604190010854,2006,72,23,17,30,1,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176794020004,249604190010854,2006,72,23,17,30,2,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176797020004,249604190010854,2006,72,23,17,30,3,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176800020004,249604190010854,2006,72,23,17,30,4,2,2006,2,0.0,0.0,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176792020004,249604190010854,2006,72,23,17,150,1,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176795020004,249604190010854,2006,72,23,17,150,2,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176798020004,249604190010854,2006,72,23,17,150,3,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176801020004,249604190010854,2006,72,23,17,150,4,2,2006,2,0.9,2.8,0.2,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176793020004,249604190010854,2006,72,23,17,270,1,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176796020004,249604190010854,2006,72,23,17,270,2,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176799020004,249604190010854,2006,72,23,17,270,3,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176802020004,249604190010854,2006,72,23,17,270,4,2,2006,2,0.0,2.0,1.3,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176192020004,249604187010854,2006,72,23,19,30,1,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176195020004,249604187010854,2006,72,23,19,30,2,2,2006,2,0.0,1.5,0.2,2013-10-21 14:55:36,2014-09-22 08:58:55,2,1,,1,,1,,
218176198020004,249604187010854,2006,72,23,19,30,3,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
218176201020004,249604187010854,2006,72,23,19,30,4,2,2006,1,,,0.0,2013-10-21 14:55:36,2014-09-22 08:58:55,2,0,,0,,1,,
