CN,STATECD,SUBP,SUBPTYP,PLT_CN,CONDID,PREV_PLT_CN,PREVCOND,SUBPTYP_PROP_CHNG,CREATED_DATE,MODIFIED_DATE
1737545261290487,72,3,1,385662818489998,1,253419281010854,1,1.0,2024-12-18 10:23:19,
1737545262290487,72,4,1,385662818489998,1,253419281010854,1,1.0,2024-12-18 10:23:19,
1737545263290487,72,1,2,385662818489998,1,253419281010854,1,1.0,2024-12-18 10:23:19,
1737545264290487,72,2,2,385662818489998,1,253419281010854,1,1.0,2024-12-18 10:23:19,
1737545265290487,72,3,2,385662818489998,1,253419281010854,1,1.0,2024-12-18 10:23:19,
1737545266290487,72,4,2,385662818489998,1,253419281010854,1,1.0,2024-12-18 10:23:19,
1737544743290487,72,1,1,385662819489998,1,253419301010854,1,1.0,2024-12-18 10:23:03,
1737544744290487,72,2,1,385662819489998,1,253419301010854,1,1.0,2024-12-18 10:23:03,
1737544745290487,72,3,1,385662819489998,1,253419301010854,1,1.0,2024-12-18 10:23:03,
1737544746290487,72,4,1,385662819489998,1,253419301010854,1,1.0,2024-12-18 10:23:03,
1737544747290487,72,1,2,385662819489998,1,253419301010854,1,1.0,2024-12-18 10:23:03,
1737544748290487,72,2,2,385662819489998,1,253419301010854,1,1.0,2024-12-18 10:23:03,
1737544749290487,72,3,2,385662819489998,1,253419301010854,1,1.0,2024-12-18 10:23:03,
1737544750290487,72,4,2,385662819489998,1,253419301010854,1,1.0,2024-12-18 10:23:03,
1737545235290487,72,1,1,385662820489998,1,253419282010854,1,1.0,2024-12-18 10:23:19,
1737545236290487,72,2,1,385662820489998,1,253419282010854,1,1.0,2024-12-18 10:23:19,
1737545237290487,72,3,1,385662820489998,1,253419282010854,1,1.0,2024-12-18 10:23:19,
1737545238290487,72,4,1,385662820489998,1,253419282010854,1,1.0,2024-12-18 10:23:19,
1737545239290487,72,1,2,385662820489998,1,253419282010854,1,1.0,2024-12-18 10:23:19,
1737545240290487,72,2,2,385662820489998,1,253419282010854,1,1.0,2024-12-18 10:23:19,
1737545241290487,72,3,2,385662820489998,1,253419282010854,1,1.0,2024-12-18 10:23:19,
1737545242290487,72,4,2,385662820489998,1,253419282010854,1,1.0,2024-12-18 10:23:19,
1737545276290487,72,2,1,385662821489998,1,253419283010854,1,1.0,2024-12-18 10:23:19,
1737545277290487,72,3,1,385662821489998,1,253419283010854,1,1.0,2024-12-18 10:23:19,
1737545278290487,72,4,1,385662821489998,1,253419283010854,1,1.0,2024-12-18 10:23:19,
1737545279290487,72,1,2,385662821489998,1,253419283010854,1,1.0,2024-12-18 10:23:19,
1737545280290487,72,2,2,385662821489998,1,253419283010854,1,1.0,2024-12-18 10:23:19,
1737545281290487,72,3,2,385662821489998,1,253419283010854,1,1.0,2024-12-18 10:23:19,
1737545282290487,72,4,2,385662821489998,1,253419283010854,1,1.0,2024-12-18 10:23:19,
1737545275290487,72,1,1,385662821489998,1,253419283010854,1,1.0,2024-12-18 10:23:19,
1737545643290487,72,1,1,385662822489998,1,253419302010854,1,1.0,2024-12-18 10:23:39,
1737545644290487,72,2,1,385662822489998,1,253419302010854,1,1.0,2024-12-18 10:23:39,
1737545645290487,72,3,1,385662822489998,1,253419302010854,1,1.0,2024-12-18 10:23:39,
1737545646290487,72,4,1,385662822489998,1,253419302010854,1,1.0,2024-12-18 10:23:39,
1737545647290487,72,1,2,385662822489998,1,253419302010854,1,1.0,2024-12-18 10:23:39,
1737545648290487,72,2,2,385662822489998,1,253419302010854,1,1.0,2024-12-18 10:23:39,
1737562548290487,72,3,2,480539987489998,1,197190576020004,1,1.0,2024-12-18 10:36:23,
1737562549290487,72,4,2,480539987489998,1,197190576020004,1,1.0,2024-12-18 10:36:23,
1737563366290487,72,1,1,480539988489998,1,197190540020004,1,1.0,2024-12-18 10:36:23,
1737563367290487,72,2,1,480539988489998,1,197190540020004,1,1.0,2024-12-18 10:36:23,
1737563368290487,72,3,1,480539988489998,1,197190540020004,1,1.0,2024-12-18 10:36:23,
1737563369290487,72,4,1,480539988489998,1,197190540020004,1,1.0,2024-12-18 10:36:23,
1737563370290487,72,1,2,480539988489998,1,197190540020004,1,1.0,2024-12-18 10:36:23,
1737563371290487,72,2,2,480539988489998,1,197190540020004,1,1.0,2024-12-18 10:36:23,
1737563372290487,72,3,2,480539988489998,1,197190540020004,1,1.0,2024-12-18 10:36:23,
1737563373290487,72,4,2,480539988489998,1,197190540020004,1,1.0,2024-12-18 10:36:23,
1737553821290487,72,1,2,441097110489998,1,29590538020004,1,1.0,2024-12-18 10:29:46,
1737553822290487,72,2,2,441097110489998,1,29590538020004,1,1.0,2024-12-18 10:29:46,
1737553823290487,72,3,2,441097110489998,1,29590538020004,1,1.0,2024-12-18 10:29:46,
1737553824290487,72,4,2,441097110489998,1,29590538020004,1,1.0,2024-12-18 10:29:46,
1737554562290487,72,1,1,441097111489998,1,29590539020004,1,1.0,2024-12-18 10:30:06,
1737554563290487,72,2,1,441097111489998,1,29590539020004,1,1.0,2024-12-18 10:30:06,
1737554564290487,72,3,1,441097111489998,1,29590539020004,1,1.0,2024-12-18 10:30:06,
1737554565290487,72,4,1,441097111489998,1,29590539020004,2,1.0,2024-12-18 10:30:06,
1737554566290487,72,1,2,441097111489998,1,29590539020004,1,1.0,2024-12-18 10:30:06,
1737554567290487,72,2,2,441097111489998,1,29590539020004,1,1.0,2024-12-18 10:30:06,
1737554568290487,72,3,2,441097111489998,1,29590539020004,1,1.0,2024-12-18 10:30:06,
1737554569290487,72,4,2,441097111489998,1,29590539020004,2,1.0,2024-12-18 10:30:06,
1737554135290487,72,1,1,441097112489998,1,29590540020004,1,1.0,2024-12-18 10:29:54,
1737554136290487,72,2,1,441097112489998,1,29590540020004,1,1.0,2024-12-18 10:29:54,
1737554137290487,72,3,1,441097112489998,1,29590540020004,1,1.0,2024-12-18 10:29:54,
1737554138290487,72,4,1,441097112489998,1,29590540020004,1,1.0,2024-12-18 10:29:54,
1737554139290487,72,1,2,441097112489998,1,29590540020004,1,1.0,2024-12-18 10:29:54,
1737554140290487,72,2,2,441097112489998,1,29590540020004,1,1.0,2024-12-18 10:29:54,
1737554141290487,72,3,2,441097112489998,1,29590540020004,1,1.0,2024-12-18 10:29:54,
1737554142290487,72,4,2,441097112489998,1,29590540020004,1,1.0,2024-12-18 10:29:54,
1737553785290487,72,1,1,441097113489998,1,29590541020004,1,1.0,2024-12-18 10:29:46,
1737553786290487,72,2,1,441097113489998,1,29590541020004,1,1.0,2024-12-18 10:29:46,
1737553787290487,72,3,1,441097113489998,1,29590541020004,1,1.0,2024-12-18 10:29:46,
1737553788290487,72,4,1,441097113489998,1,29590541020004,1,1.0,2024-12-18 10:29:46,
1737553789290487,72,1,2,441097113489998,1,29590541020004,1,1.0,2024-12-18 10:29:46,
1737553790290487,72,2,2,441097113489998,1,29590541020004,1,1.0,2024-12-18 10:29:46,
1737553791290487,72,3,2,441097113489998,1,29590541020004,1,1.0,2024-12-18 10:29:46,
1737553792290487,72,4,2,441097113489998,1,29590541020004,1,1.0,2024-12-18 10:29:46,
1737553559290487,72,1,1,441097114489998,1,29590542020004,1,1.0,2024-12-18 10:29:43,
1737553560290487,72,2,1,441097114489998,1,29590542020004,1,1.0,2024-12-18 10:29:43,
1737553561290487,72,3,1,441097114489998,1,29590542020004,1,1.0,2024-12-18 10:29:43,
1737553562290487,72,4,1,441097114489998,1,29590542020004,1,1.0,2024-12-18 10:29:43,
1737553563290487,72,1,2,441097114489998,1,29590542020004,1,1.0,2024-12-18 10:29:43,
1737553564290487,72,2,2,441097114489998,1,29590542020004,1,1.0,2024-12-18 10:29:43,
1737553565290487,72,3,2,441097114489998,1,29590542020004,1,1.0,2024-12-18 10:29:43,
1737553566290487,72,4,2,441097114489998,1,29590542020004,1,1.0,2024-12-18 10:29:43,
1737553567290487,72,1,1,441097115489998,1,29590543020004,1,1.0,2024-12-18 10:29:43,
1737553568290487,72,2,1,441097115489998,1,29590543020004,1,1.0,2024-12-18 10:29:43,
1737553569290487,72,3,1,441097115489998,1,29590543020004,1,1.0,2024-12-18 10:29:43,
1737553570290487,72,4,1,441097115489998,1,29590543020004,1,1.0,2024-12-18 10:29:43,
1737553571290487,72,1,2,441097115489998,1,29590543020004,1,1.0,2024-12-18 10:29:43,
1737553572290487,72,2,2,441097115489998,1,29590543020004,1,1.0,2024-12-18 10:29:43,
1737553573290487,72,3,2,441097115489998,1,29590543020004,1,1.0,2024-12-18 10:29:43,
1737553574290487,72,4,2,441097115489998,1,29590543020004,1,1.0,2024-12-18 10:29:43,
1737553228290487,72,1,1,441097116489998,1,29590544020004,1,1.0,2024-12-18 10:29:40,
1737553229290487,72,2,1,441097116489998,1,29590544020004,1,1.0,2024-12-18 10:29:40,
1737553230290487,72,3,1,441097116489998,1,29590544020004,2,1.0,2024-12-18 10:29:40,
