TRE_CN,PREV_TRE_CN,PLT_CN,STATECD,THRESHOLD_TYPE,SUBPTYP,SPCD,STATUSCD,DIA,HT,ACTUALHT,CR,STANDING_DEAD_CD,DIAHTCD,CULL,ROUGHCULL,CULLFORM,CULLMSTOP,DECAYCD,TREECLCD,HTDMP,WDLDSTEM,STDORGCD,SITREE,BALIVE,VOLTSGRS,VOLTSGRS_BARK,VOLTSSND,VOLTSSND_BARK,VOLCFGRS_STUMP,VOLCFGRS_STUMP_BARK,VOLCFSND_STUMP,VOLCFSND_STUMP_BARK,VOLCFGRS,VOLCFGRS_BARK,VOLCFGRS_TOP,VOLCFGRS_TOP_BARK,VOLCFSND,VOLCFSND_BARK,VOLCFSND_TOP,VOLCFSND_TOP_BARK,VOLCFNET,VOLCFNET_BARK,VOLCSGRS,VOLCSGRS_BARK,VOLCSSND,VOLCSSND_BARK,VOLCSNET,VOLCSNET_BARK,VOLBFGRS,VOLBFNET,VOLBSGRS,VOLBSNET,DRYBIO_STEM,DRYBIO_STEM_BARK,DRYBIO_STUMP,DRYBIO_STUMP_BARK,DRYBIO_BOLE,DRYBIO_BOLE_BARK,DRYBIO_BRANCH,DRYBIO_FOLIAGE,DRYBIO_AG,DRYBIO_BG,CARBON_AG,CARBON_BG,DRYBIO_SAWLOG,DRYBIO_SAWLOG_BARK,CREATED_DATE,MODIFIED_DATE
311804030489998,,197190672020004,72,MICROPLOT,,7146,1,1.0,17,17,60,,1,,,,,,2,6.5,,0,,64.5846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,2.322226,0.399217,1.077513,0.185237,,,2024-12-18 10:10:21,
311804134489998,,197190673020004,72,SUBPLOT,,7285,1,5.0,30,30,25,,1,0,,,,,3,,,0,,402.2632,,,,,,,,,1.27491,,,,1.27491,,,,1.27491,,,,,,,,,,,,,,,,,,,2.730358,84.7786,15.718013,40.269835,7.466056,,,2024-12-18 10:10:32,
311804243489998,,197190677020004,72,SUBPLOT,,8679,1,5.0,32,32,20,,1,0,,,,,3,,,0,,264.6107,,,,,,,,,1.35025,,,,1.35025,,,,1.35025,,,,,,,,,,,,,,,,,,,2.730358,125.051303,16.646859,57.898753,7.707496,,,2024-12-18 10:10:10,
311804295489998,,197190681020004,72,MICROPLOT,,8644,1,1.0,14,14,10,,1,,,,,,2,,,0,,141.4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,5.283212,0.399217,2.509526,0.189628,,,2024-12-18 10:10:20,
311804296489998,,197190681020004,72,MICROPLOT,,8644,1,1.0,14,14,15,,1,,,,,,2,,,0,,141.4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,5.283212,0.399217,2.509526,0.189628,,,2024-12-18 10:10:20,
311804330489998,,197190681020004,72,MICROPLOT,,6407,1,1.0,13,13,30,,1,,,,,,2,,,0,,141.4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,4.985688,0.399217,2.368202,0.189628,,,2024-12-18 10:10:20,
311804331489998,,197190681020004,72,MICROPLOT,,8558,1,1.0,13,13,60,,1,,,,,,2,,,0,,141.4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,4.985688,0.399217,2.368202,0.189628,,,2024-12-18 10:10:20,
311804285489998,,197190681020004,72,SUBPLOT,,8713,1,5.0,26,26,15,,1,0,,,,,3,,,0,,141.4948,,,,,,,,,1.086112,,,,1.086112,,,,1.086112,,,,,,,,,,,,,,,,,,,2.730358,106.305925,13.390374,50.495314,6.360428,,,2024-12-18 10:10:20,
311804293489998,,197190681020004,72,SUBPLOT,,6114,1,5.0,32,32,25,,1,0,,,,,3,5.2,,0,,141.4948,,,,,,,,,1.527653,,,,1.527653,,,,1.527653,,,,,,,,,,,,,,,,,,,2.730358,125.051303,18.834011,59.399369,8.946155,,,2024-12-18 10:10:20,
311804304489998,,197190681020004,72,SUBPLOT,,8489,1,5.0,14,14,45,,1,0,,,,,3,,,0,,141.4948,,,,,,,,,0.647178,,,,0.647178,,,,0.647178,,,,,,,,,,,,,,,,,,,2.730358,65.506259,7.978879,31.115473,3.789967,,,2024-12-18 10:10:20,
311804305489998,,197190681020004,72,SUBPLOT,,8558,1,5.0,30,30,30,,1,0,,,,,3,,,0,,141.4948,,,,,,,,,1.610569,,,,1.610569,,,,1.610569,,,,,,,,,,,,,,,,,,,2.730358,118.895614,19.85626,56.475417,9.431723,,,2024-12-18 10:10:20,
311804306489998,,197190681020004,72,SUBPLOT,,8558,1,5.0,27,27,30,,1,0,,,,,3,,,0,,141.4948,,,,,,,,,1.452663,,,,1.452663,,,,1.452663,,,,,,,,,,,,,,,,,,,2.730358,109.490659,17.90948,52.008063,8.507003,,,2024-12-18 10:10:20,
311804307489998,,197190681020004,72,SUBPLOT,,859,1,5.0,29,29,50,,1,0,,,,,3,,,0,,141.4948,,,,,,,,,1.237033,,,,1.237033,,,,1.237033,,,,,,,,,,,,,,,,,,,2.730358,115.784437,15.251038,54.997608,7.244243,,,2024-12-18 10:10:20,
311804323489998,249715616010854,197190681020004,72,SUBPLOT,,8644,1,5.0,30,30,20,,1,0,,,,,3,,,0,,141.4948,,,,,,,,,1.392417,,,,1.392417,,,,1.392417,,,,,,,,,,,,,,,,,,,2.730358,118.895614,17.166724,56.475417,8.154194,,,2024-12-18 10:10:20,
311804326489998,,197190681020004,72,SUBPLOT,,8644,1,5.0,30,30,20,,1,0,,,,,3,,,0,,141.4948,,,,,,,,,1.392417,,,,1.392417,,,,1.392417,,,,,,,,,,,,,,,,,,,2.730358,118.895614,17.166724,56.475417,8.154194,,,2024-12-18 10:10:20,
311804361489998,249713774010854,197190682020004,72,SUBPLOT,,6835,1,5.0,16,16,20,,1,0,,,,,3,,,0,,45.2923,,,,,,,,,0.72881,,,,0.72881,,,,0.72881,,,,,,,,,,,,,,,,,,,2.730358,46.658958,8.985297,22.163005,4.268016,,,2024-12-18 10:10:21,
311804410489998,,197190684020004,72,MICROPLOT,,6728,1,1.0,13,13,15,,1,,,,,,2,,,0,,85.3303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,1.7998,0.399217,0.854905,0.189628,,,2024-12-18 10:10:21,
311804407489998,,197190684020004,72,SUBPLOT,,7474,1,5.0,36,36,20,,1,0,,,,,3,,,0,,85.3303,,,,,,,,,1.91127,,,,1.91127,,,,1.91127,,,,,,,,,,,,,,,,,,,2.730358,100.811117,23.563519,45.365003,10.603584,,,2024-12-18 10:10:21,
311804408489998,,197190684020004,72,SUBPLOT,,7290,1,5.0,32,32,35,,1,0,,,,,3,,,0,,85.3303,,,,,,,,,1.156544,,,,1.156544,,,,1.156544,,,,,,,,,,,,,,,,,,,2.730358,90.139165,14.258711,43.897773,6.943992,,,2024-12-18 10:10:21,
311804409489998,,197190684020004,72,SUBPLOT,,6743,1,5.0,36,36,35,,1,0,,,,,2,,,0,,85.3303,,,,,,,,,1.499408,,,,1.499408,,,,1.499408,,,,,,,,,,,,,,,,,,,2.730358,100.811117,18.485786,47.885281,8.780749,,,2024-12-18 10:10:21,
311804477489998,,197190685020004,72,MICROPLOT,,7290,1,1.0,20,20,30,,1,,,,,,2,,,0,,68.4315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319776,6.983176,0.399217,3.400807,0.194419,,,2024-12-18 10:10:00,
311804455489998,,197190685020004,72,SUBPLOT,,6888,1,5.0,30,30,35,,1,0,,,,,3,,,0,,68.4315,,,,,,,,,1.27491,,,,1.27491,,,,1.27491,,,,,,,,,,,,,,,,,,,2.730358,118.895614,15.718013,54.810878,7.246004,,,2024-12-18 10:10:00,
311804458489998,,197190685020004,72,SUBPLOT,,7290,1,5.0,31,31,50,,1,0,,,,,3,,,0,,68.4315,,,,,,,,,1.129372,,,,1.129372,,,,1.129372,,,,,,,,,,,,,,,,,,,2.730358,121.984276,13.923715,59.406342,6.780849,,,2024-12-18 10:10:00,
